,Data
43,"Harris to Bairstow, 2 runs two more towards the same region, this one flicked off the front foot"
44,"Harris to Bairstow, no run bumper, a little shorter than the first delivery, ignored"
45,"Harris to Bairstow, no run short outside off this time, again Bairstow doesn't flinch at it"
46,"Harris to Bairstow, 1 run full on middle, push firmly to midwicket where there's a fumble and they go on the misfield for a sharp single"
47,"Harris to Bell, no run length ball just outside off stump, played from the crease up the wicket"
48,"Pattinson to Bairstow, 3 runs yorker length outside off, Bairstow jams the bat down on it, it runs to Haddin's left, he picks up and shys automatically at the stumps but no-one is backing up so they'll get two buzzards"
49,"Pattinson to Bell, FOUR runs full length just outside off again, nicely driven, sweet cover drive, well timed, opens the face to get it in the gap and that's four down the hill all day long"
50,"Pattinson to Bell, no run yorker length, dug out on middle and off, big lbw appeal, it was probably sliding down, indeed it was, had Bell in a tangle though"
51,"Pattinson to Bell, no run length ball on the stumps, Bell stands in the crease and tucks up back to the bowler"
52,"Pattinson to Bell, (no ball) FOUR runs back of a length just outside off and gracefully pushed away through cover, that is glorious"
53,"Pattinson to Bell, no run tighter line and blocked up the wicket again"
54,"Pattinson to Bell, FOUR runs another back foot drive and again gloriously timed through the covers, down the hill and four more, superb stroke once again"
55,"Harris to Bairstow, no run now Bairstow tries a back foot punch but finds cover"
56,"Harris to Bairstow, no run fuller just outside off stump, driven nicely but only as far as mid-off"
57,"Harris to Bairstow, 1 run short ball, plays this swatted pull again and gets it out to deep square leg"
58,"Harris to Bell, no run full ball on the stumps, pressed forward and ran into the off side"
59,"Harris to Bell, no run played forward to a length ball on off stump, dropped into the covers but no chance of a single"
60,"Harris to Bell, no run good bumper, surprises Bell who shaped to hook but pulled out of the stroke at the last moment"
61,"Agar to Bairstow, 1 run length ball outside leg stump, tucked around the corner for an easy single"
62,"Agar to Bell, no run full on middle and off, blocked forward into the covers"
63,"Agar to Bell, no run leg stump line, tucked up on the leg side coming half-forward"
64,"Agar to Bell, no run forward on leg stump, ran back to the bowler"
65,"Agar to Bell, FOUR runs dropped slightly shorter and Bell is onto it in a flash, he rocks right back and chops hard, running it with the pace behind square"
66,"Agar to Bell, no run back on the stumps and full again, ran back up the wicket"
67,"Siddle to Bairstow, no run length ball on off stump, Bairstow forward and blocking up the wicket"
68,"Siddle to Bairstow, no run full ball on off stump, blocked up the wicket"
69,"Siddle to Bairstow, 1 run just loses his line a little bit and gets clipped through square leg, they run hard for two but the deep square is in too quickly"
70,"Siddle to Bell, no run off stump on a decent length, played forward and pushed into the covers"
71,"Siddle to Bell, no run off stump again and pushed up the wicket coming forward"
72,"Siddle to Bell, no run length ball on off stump and blocked on the crease once more"
73,"Agar to Bairstow, 1 run over the wicket now, length ball outside leg stump, flicked out to deep square leg, and Bairstow goes to fifty"
74,"Agar to Bell, no run floated up outside leg stump, kicked away"
75,"Agar to Bell, 1 run slightly straighter, Bell goes back and tucks through midwicket"
76,"Agar to Bairstow, 1 run floated up on leg stump, pushed through midwicket and they take on the fielder and get home comfortably because the fielder can't get in to pick up"
77,"Agar to Bell, no run kicked away outside leg again"
78,"Agar to Bell, no run straighter, around middle, blocked back up the wicket"
79,"Siddle to Bairstow, no run full ball on off stump, a bend of the front knee and blocked up the wicket"
80,"Siddle to Bairstow, no run forced off the back foot from just outside off, gets it to point"
81,"Siddle to Bairstow, no run another back foot push, this time can't evade cover who slides to his right to field"
82,"Siddle to Bairstow, no run finds another fielder, this time midwicket with a flick off middle and leg"
83,"Siddle to Bairstow, no run bumper on off stump, Bairstow sways inside the line quickly"
84,"Siddle to Bairstow, no run full of length around off stump, Bairstow forward and pushes up on the on side"
85,"Agar to Bell, no run around the wicket again, blocked on the back foot, played back up the wicket"
86,"Agar to Bell, no run fuller, pushed from off stump towards point"
87,"Agar to Bell, no run fuller again, this is driven from middle and off to cover with an open face"
88,"Agar to Bell, no run full on the stumps, rolled back up the wicket back to the bowler"
89,"Agar to Bell, (no ball) full on leg stump, rolled into midwicket this time, another no-ball for Agar"
90,"Agar to Bell, 1 run full way outside leg stump, Bell tucks it through the on side"
91,"Agar to Bairstow, 1 run down the wicket, first time we've seen that against Agar, driven firmly to mid-on and Bairstow calls for a quick single and makes it easily"
92,"Siddle to Bairstow, 1 run short and hooked, not in control of this and it's down towards deep backward square off a top edge but well short of the fielder, almost another cheap dismissal but well bowled, surprising the batsman with the short one that hurried him"
93,"Siddle to Bell, no run back of a length outside off and Bell brings the bat inside the line"
94,"Siddle to Bell, no run full ball just outside off stump, Bell forward and blocks into the covers"
95,"Siddle to Bell, no run full on off stump, driven nicely down to mid-on"
96,"Siddle to Bell, 1 run just outside off stump, dabbed from back of a length just to the right of point, they take the fielder on and get a quick single"
97,"Siddle to Bairstow, no run full a foot outside off stump, driven pretty firmly but extra cover comes around to save to his right"
98,"Agar to Bell, no run tossed up on off stump, punched to mid-off"
99,"Agar to Bell, no run tossed right up, Bell somehow misses it outside off stump and it very narrowly avoids the off stump, mid-read the flight there Bell"
100,"Agar to Bell, no run this is flatter, Bell rocks back and cuts hard to point"
101,"Agar to Bell, no run forward on middle stump to block up the wicket"
102,"Agar to Bell, no run touch short, Bell back and pushing into the covers from off stump"
103,"Agar to Bell, no run full on leg stump, blocked carefully back to the bowler"
104,"Siddle to Bairstow, no run full on middle and leg, flicked to midwicket"
105,"Siddle to Bairstow, no run full and well wide of off stump, ignored"
106,"Siddle to Bairstow, no run length two feet outside off stump, ignored"
107,"Siddle to Bairstow, 1 run full ball pushed down the ground, Bairstow calls for a sharp single, mid-on comes in and throws down to the striker's end and had he hit Bell would have been gone, lazy"
108,"Siddle to Bell, 1 run back of a length, pulled out to deep square leg, very controlled stroke"
109,"Siddle to Bairstow, no run length ball wide of off stump, left alone"
110,"Agar to Bell, no run floated up on middle and leg, rolled back up the wicket"
111,"Agar to Bell, FOUR runs short outside off, cut for four, nicely put away, England waiting for these bad balls and Bell especially has been efficient in putting them away"
112,"Agar to Bell, no run floated up on middle and off, carefully blocking coming forward"
113,"Agar to Bell, 1 run leg stump line, flicked around the corner out to deep square leg"
114,"Agar to Bairstow, 2 runs full length on off stump, Bairstow drives while opening the face and steers it well into the gap at cover"
115,"Agar to Bairstow, FOUR runs not that short but Bairstow is quickly back and punching firmly past point down the hill, timed well, got into position very smartly"
116,"Pattinson to Bell, 1 run starts back of a length, pulled down to deep square leg"
117,"Pattinson to Bairstow, no run back of a length on off stump, defending up on his toes into the off side"
118,"Pattinson to Bairstow, 2 runs length ball on leg stump, tickled down the leg side, they get two as deep backward square comes to his right and it brings the 250 up"
119,"Pattinson to Bairstow, no run blocked in the crease around off stump again"
120,"Pattinson to Bairstow, no run blocked around off again, it comes off an inside edge and gets lodged in Bairstow's pad, he leaves it for Haddin to collect"
121,"Pattinson to Bairstow, no run played forward just outside off stump and pushed into the covers"
122,"Watson to Bell, no run blocked covering up on the off stump"
123,"Watson to Bell, no run length ball on the stumps, tucked to midwicket coming forward"
124,"Watson to Bell, no run full ball on the stumps, Bell nearly got outside it but nudges it to short midwicket"
125,"Watson to Bell, no run full and just outside off stump, driven towards extra cover"
126,"Watson to Bell, no run length on off stump, blocked up the wicket playing from the crease"
127,"Watson to Bell, no run covered up again on off stump, played up the wicket"
128,"Pattinson to Bairstow, no run back of a length outside off stump, played with a cross bat and gets it to point"
129,"Pattinson to Bairstow, no run tighter line, blocked on the back foot this time"
130,"Pattinson to Bairstow, no run in the channel just outside off, ignored"
131,"Pattinson to Bairstow, no run comes forward a little now and plays back up the wicket from off stump"
132,"Pattinson to Bairstow, no run full ball two feet just outside off stump, driven firmly to mid-on"
133,"Pattinson to Bairstow, no run forward on off stump, Bairstow forward and blocking back up the wicket"
134,"Watson to Bell, no run full on off stump, driven to mid-off"
135,"Watson to Bell, 3 runs another flowing drive, it was just a fraction wider which allowed Bell to open the face and steer it wide of cover...a good chase to the boundary by Smith, and a dive, saves a single"
136,"Watson to Bairstow, no run and he fields this delivery as Bairstow defends a length ball"
137,"Watson to Bairstow, no run dragged down short, he goes for the pull but doesn't time it and midwicket does the fielding"
138,"Watson to Bairstow, no run on a length, defended to the leg side, silly mid-on fields"
139,"Watson to Bairstow, no run pushed fuller, Bairstow again threatening to play around that front pad but plays it safely enough to midwicket"
140,"Pattinson to Bell, no run short of a length outside off, on the back foot and played to cover"
141,"Pattinson to Bell, no run fuller delivery, Bell doesn't get a massive stride forward as he drives to mid-off"
142,"Pattinson to Bell, no run driven more firmly this time, it was closer to a half volley, and again mid-off fields"
143,"Pattinson to Bell, 1 run defended off the back foot, squirts off a thick inside edge to deep square-leg"
144,"Pattinson to Bairstow, FOUR runs very nice shot, just timing as he flicks this from outside off through straight mid-on with a little turn of the bottom hand...lovely stuff from Bairstow"
145,"Pattinson to Bairstow, 1 wide that's a very short bouncer and it's too wide for the umpire"
146,"Pattinson to Bairstow, no run another bouncer to finish the over, this one is within the parameters as Bairstow ducks"
147,"Watson to Bell, 2 runs low full toss, tailing in a touch, Bell flicks it backward of square...the fielder is more at deep square than long leg so it's an easy two to take him to 99"
148,"Watson to Bell, no run a yorker, dug out and it bobbles to the leg side...no chance of the single"
149,"Watson to Bell, no run pushed down the leg side"
150,"Watson to Bell, 2 runs there it is! Another Ashes hundred for Ian Bell. He opens the face and steers backward of point, placement has been a hallmark of his hundred and this is another example"
151,"Watson to Bell, FOUR runs on leg stump, flicked away fine and the fielder at deep square has not chance of getting around"
152,"Watson to Bell, no run driven firmly towards the on side, there's a bit of a tangle as silly mid-on drives across to field and Bairstow falls off his feet as he swivels to get back into his ground"
153,"Siddle to Bairstow, no run on off stump, punched firmly back to the bowler"
154,"Siddle to Bairstow, no run finds an inside edge as Bairstow plays forward, it deflects into the pad and away to the off side"
155,"Siddle to Bairstow, no run full at off stump, search for the ball that bowled him earlier"
156,"Siddle to Bairstow, no run driven up to mid-on"
157,"Siddle to Bairstow, no run banged in short outside off, it loops off this friendly-paced surface and balloons through to Haddin"
158,"Siddle to Bairstow, no run back to the full length at off stump, driven to mid-off"
159,"Smith to Bell, no run starts full on middle, floated up, defended to the off side"
160,"Smith to Bell, no run full again, pushed back to the bowler...steady start"
161,"Smith to Bell, no run drifts towards leg stump, worked along the ground to midwicket"
162,"Smith to Bell, no run touch shorter and quicker, Bell goes onto the back foot in an attempt to drive"
163,"Smith to Bell, FOUR runs there's a full toss and Bell puts it away...used his feet then crunched it over wide mid-on. Didn't actually time it that well, but the power was enough"
164,"Smith to Bell, OUT he's done it! Clarke's captaincy brings another wicket. It's a perfectly-pitched leg break which grips a fraction, finds the edge and carries low to Clarke at slip. What a bonus for Australia"
165,"Siddle to Bairstow, no run short outside off, Bairstow drops his hands and lets it go through"
166,"Siddle to Bairstow, no run short again outside off, Bairstow isn't interested"
167,"Siddle to Bairstow, no run short of a length, makes him play this time, defended off the back foot"
168,"Siddle to Bairstow, no run keeps it on the short side, perhaps setting him up for the full straight one, defended to midwicket"
169,"Siddle to Bairstow, no run there's the full one, it's outside off, Bairstow gets forward and drives to cover"
170,"Siddle to Bairstow, no run close! So nearly an edge. Excellent delivery, short of a length, just offers to move away a fraction and Bairstow felt for it outside off stump. There were a few half shouts but nothing from the keeper"
171,"Smith to Prior, no run defended off the back foot"
172,"Smith to Prior, 1 run touch short, Prior stands on leg stump and cuts it out to the cover sweeper"
173,"Smith to Bairstow, 1 run some more turn, but it's a touch short and allows Bairstow to tuck it off the back foot through midwicket"
174,"Smith to Prior, 1 run placed off the back foot to deep cover"
175,"Smith to Bairstow, no run fuller on middle and off, Bairstow gets well forward to cover for the spin and defends"
176,"Smith to Bairstow, no run forward on off stump, pushed into the covers"
177,"Siddle to Prior, no run full at off stump, for a second it appeared Prior was going to be late on his defensive shot but plays it solidly to the off side"
178,"Siddle to Prior, no run defended back to the bowler"
179,"Siddle to Prior, no run well bowled, a slightly different action there for Siddle unless my eyes deceive me...trying to find some late swing, it was full at the stumps and Prior dug it out to midwicket"
180,"Siddle to Prior, no run full and straight, the way to go at Prior early, defended to the leg side"
181,"Siddle to Prior, no run offers the chance to drive a delivery full outside off, Prior frees his arms and picks out cover"
182,"Siddle to Prior, no run driven off the back foot to the right of mid-off where Harris makes a good tumbling save"
183,"Smith to Bairstow, OUT and another! It's a full toss. Bairstow has just bunted it back to Smith. Christmas time for Smith and Australia. An awfully lazy dismissal from Bairstow, who drove a fraction early and Smith collected a low chance in his follow through"
184,"Smith to Bresnan, no run quicker, flatter delivery which Bresnan defends to midwicket"
185,"Smith to Bresnan, no run forward and defends to the off side"
186,"Smith to Bresnan, FOUR runs dropped in short outside off, Bresnan rocks back nicely and finds the gap square through the off side"
187,"Smith to Bresnan, no run defended off the back foot to the leg side"
188,"Smith to Bresnan, 1 run full on leg stump, defended off a thick inside edge which dribbles towards short fine-leg"
189,"Siddle to Bresnan, no run on off stump, Bresnan gets forward and defends to the off side"
190,"Siddle to Bresnan, no run outside off, left alone"
191,"Siddle to Bresnan, no run worked into the leg side"
192,"Siddle to Bresnan, no run searching for that full delivery at the stumps, Bresnan punches it down to mid-on"
193,"Siddle to Bresnan, no run angling into him from wide on the crease, tucked out to midwicket"
194,"Siddle to Bresnan, no run a tight over from Siddle ends with a full delivery outside off which is defended to cover"
195,"Smith to Prior, no run on leg stump, defended back to the bowler"
196,"Smith to Prior, no run finds the edge again with one that spins quite sharply from around leg stump, it goes straight to ground and wide of slip"
197,"Smith to Prior, no run fuller this time, defended"
198,"Smith to Prior, FOUR runs cut away off the stumps, risky if the ball skids on, Prior cuts it through third man"
199,"Smith to Prior, no run gets forward and play it back to Smith"
200,"Smith to Prior, no run a little shorter, Prior hangs on the back foot and defends to backward point"
201,"Harris to Bresnan, no run resumes full at off stump, pushed back to the bowler in his follow through"
202,"Harris to Bresnan, no run a yorker which is dug out to the off side"
203,"Harris to Bresnan, no run left alone outside off, Harris still with the old ball"
204,"Harris to Bresnan, no run short of a length, seams back into Bresnan who defends off the back foot"
205,"Harris to Bresnan, no run on off stump, defended to the off side"
206,"Harris to Bresnan, no run played to the leg side"
207,"Smith to Prior, no run a little short on leg stump, defended to midwicket off the back foot"
208,"Smith to Prior, no run that's nice from Smith, on middle and leg, threatening to turn, Prior defends"
209,"Smith to Prior, OUT he's got three! What a spell for Australia. This one skidded through outside off, perhaps an attempted flipper, Prior went for the cut and gets a healthy top edge to Haddin"
210,"Smith to Anderson, no run defended past slip off the back foot"
211,"Smith to Anderson, no run short outside off, defended to cover"
212,"Smith to Anderson, no run that's the length, fuller outside off, brings Anderson forward as he defends and it comes off a thick inside edge to midwicket"
213,"Harris to Bresnan, no run short of a length outside off, left alone"
214,"Harris to Bresnan, no run gets across and defends into the off side"
215,"Harris to Bresnan, 1 run ooh, nearly gets through, an attempted yorker which comes out as a low full toss but it tails late into Bresnan who manages to get the bottom of the bat on it"
216,"Harris to Anderson, no run feeling for this outside off as it is pushed across outside off...no footwork from Anderson"
217,"Harris to Anderson, no run touch fuller this time, outside off, Anderson nearly chases it before raised the bat out of the line"
218,"Harris to Anderson, 1 run excellent short ball, Anderson didn't really know much about it as he fends it away off the glove behind square on the leg side"
219,"Siddle to Broad, no run back of a length, down the leg side and Broad maybe gets a tickle of glove on it, the ball drops just in front of Haddin"
220,"Siddle to Broad, no run short and straight again, trying to playing the xylophone on Broad's ribs, he nudges it square"
221,"Siddle to Broad, FOUR runs he's not an easy man to intimidate, Broad, and although this isn't particularly short, he sits deep and clatters four over midwicket"
222,"Siddle to Broad, no run slightly back of a length, bit more pace in this delivery and Broad defends"
223,"Siddle to Broad, FOUR runs pitched up in the corridor, the ball's not doing much any more and Broad gets half a stride in before boofing a cover drive to the fence"
224,"Siddle to Broad, no run drops short again, doesn't get up all that much but Broad drops his hands under this one"
225,"Harris to Swann, FOUR runs too full and wide from Harris, his first poor ball this morning and Swann creams a drive through the covers for the eighth boundary of the morning"
226,"Harris to Swann, no run floated up wide of the stumps, chopped into the ground to point"
227,"Harris to Swann, FOUR runs drops a wee bit short and Swann continues to swing like a kid in the park, carting a pull shot from outside off towards deep midwicket, it beats square leg running round"
228,"Harris to Swann, FOUR runs four more, another drive through square! Harris' pace might be down a touch, it is a hot morning, and Swann sees this big, gets a stride in and clubs to the rope"
229,"Harris to Swann, 1 run nudged off the body through square"
230,"Harris to Broad, no run goes round the wicket, short and flying over Broad's shoulder as he hops in the crease"
231,"Smith to Anderson, 1 run short outside off, punched off the back foot to the right of mid-off"
232,"Smith to Bresnan, no run another full toss, perhaps a tactic, and this one is driven on the bounce back to Smith"
233,"Smith to Bresnan, 1 run finds another edge, lovely length on middle and off, it turns but goes low and wide of slip"
234,"Smith to Anderson, no run full at off stump, defended to the covers"
235,"Smith to Anderson, no run beaten by a very full delivery which he seemed to just play over the top off...bounces awkwardly for Haddin who can't take it cleanly"
236,"Smith to Anderson, no run strangled appeal for lbw but it pitched outside leg stump"
237,"Harris to Bresnan, no run full on middle, squares Bresnan up a little as he defends towards mid-on"
238,"Harris to Bresnan, no run short of a length, angled down the leg side, and this is a good diving save to his left by Haddin"
239,"Harris to Bresnan, no run poor shot late in the day, chases a full wide delivery that he could barely reach...it swung"
240,"Harris to Bresnan, no run much closer to off stump, full length, left alone"
241,"Harris to Bresnan, no run good length at middle and off, defended to the leg side"
242,"Harris to Bresnan, no run full at off stump, comes forward and defends square into the off side"
243,"Siddle to Swann, 1 run straight, on a length and tucked through square leg for one"
244,"Siddle to Broad, FOUR runs shot! This was a length ball outside off, Broad stretched himself up to his full height and punched it straight back down the ground, Swann ducking underneath to avoid taking any damage"
245,"Siddle to Broad, 1 run bumper, well-directed up towards the chest, hoicked round the corner for a single"
246,"Siddle to Swann, no run"
247,"Siddle to Swann, 3 runs goes after another length ball, hitting through the line and lofting the ball high over mid-off, it plops into the outfield and doesn't quite roll all the way"
248,"Siddle to Broad, SIX runs another boundary, this time a six, though I'm not quite sure Usman Khawaja picked it up out at deep square leg! Broad pulled a short ball, the bat rolled in his hand a touch and it looped very high, Khawaja was in off the rope, suddenly he realised that he needed to backpedal and the ball eventually dropped safe a few inches over the rope - might have one the fielder could have got his hands under, though"
249,"Harris to Swann, no run round the wicket, swings across the line and the ball rolls down the track"
250,"Harris to Swann, no run back of a length, seaming across and Swann tries a cute, late uppercut but misses"
251,"Harris to Swann, no run bumper, Swann fends at it and the manages to play it down on to the pitch"
252,"Harris to Swann, FOUR runs dug in short and again Swann climbs into it, sending the ball in a soaring arc out towards fine leg, deep square was in and won't get round in time, as it bounces to the boundary"
253,"Harris to Swann, no run swats across the line but doesn't connect"
254,"Harris to Swann, no run length on the stumps, played back in more conservative fashion"
255,"Pattinson to Broad, OUT nicked to the keeper, the partnership is ended two short of fifty! Or is it? Broad doesn't walk, naturally, and has a wee conflab with Swann before deciding to review. This looks a bit hopeful, as there was a clear deviation on the way through... Though replays show it hit the flap of the pad, too. Hot Spot picks up a faint edge, though, so any more Broad controversy is quickly put to bed. England are all out"
256,"11.55am: England's tail finally wagged, a brief spell of happy slogging to cheer the crowd after more sterling work from Ryan Harris secured his place on the honours board. As Swann and Broad showed, these are still good conditions to have a bat... but Australia have to get everything straight between their ears. Join us in ten to see how they go."
257,"Extraordinary that in this series, fifth-wicket pairs are the only ones that have been more productive than last-wicket partnerships. Here's a first-wicket pairing now, out walk Shane Watson and Chris Rogers for Australia's innings. James Anderson to begin."
258,"Anderson to Watson, no run left alone outside off"
259,"Anderson to Watson, no run Watson shapes to play at this but then brings the bat back inside"
260,"Anderson to Watson, no run lovely delivery! Oh what a cracker for Watson to have to negotiate in this first over! It's on middle and off and just curving away a fraction, Anderson puts up a huge shout for caught behind but Kumar Dharmasena says not out. Anderson wants a review, but the consensus from the England players is not to go for it, and that's a wise call. It was off the back leg, not bat"
261,"Anderson to Watson, no run Watson shoulders arms now"
262,"Anderson to Watson, no run accurate stuff from Anderson and Watson defends"
263,"Anderson to Watson, no run inswing this time and it moves late, good bowling from Anderson, but Watson is still able to leave it alone safely as it doesn't move enough to threaten his off stump"
264,"Broad to Rogers, no run good line straight away, just outside off and swinging in a touch, and Rogers defends"
265,"Broad to Rogers, no run swinging down the leg side now and Rogers tries to tickle it fine but gets nothing on it"
266,"Broad to Rogers, no run again it's curling down leg, again Rogers makes no contact"
267,"Broad to Rogers, no run outside off now and Rogers defends with a straight bat"
268,"Broad to Rogers, no run ouch, Rogers is beaten by one that nips in a fraction and bounces - it's struck him fair in the midriff"
269,"Broad to Rogers, no run squared up now and Rogers pushes to off"
270,"Anderson to Watson, no run great bowling from Anderson, fast and swinging away a fraction, from middle stump and Watson is naturally squared up. Gets a thickish edge away to off"
271,"Anderson to Watson, no run plays late this time and defends safely"
272,"Anderson to Watson, no run not so good a delivery now, angling down the leg side and Watson's attempted glance doesn't connect"
273,"Anderson to Watson, no run another thick edge from Watson, but soft hands means this doesn't carry to second slip"
274,"Anderson to Watson, FOUR runs first boundary for Australia now as Watson waits on a slightly shorter one and steers it off the back foot down into the ground and away behind point"
275,"Anderson to Watson, no run wider of off now and Watson slashes, he's missed it"
276,"Broad to Rogers, no run angled across Rogers, who leaves it alone"
277,"Broad to Rogers, 1 run Rogers gets off the mark now with a flick through midwicket from a ball that swings in"
278,"Broad to Watson, no run curving away outside off and Watson theatrically leaves the ball alone"
279,"Broad to Watson, no run probing outside off now but no real swing there and Watson defends solidly"
280,"Broad to Watson, no run angled in to the off stump line now and Watson defends"
281,"Broad to Watson, no run there's an appeal for lbw, it is turned down by Marais Erasmus. England appeared confident but after a conference between bowler, keeper and captain, they decide not to review and it's another wise call. That looked like it struck Watson outside the line of off, and replays confirm it."
282,"Anderson to Rogers, no run Anderson is, clearly, back on the field now, but swings this ball way down leg"
283,"Anderson to Rogers, no run strikes Rogers on the pad now but this was pitching well outside leg as Anderson is over the wicket"
284,"Anderson to Rogers, no run wrong line again from Anderson, swinging down leg and Rogers can't get anything on it"
285,"Anderson to Rogers, no run another one down leg, this one flicks the pad on the way through to Prior, who dives and collects it"
286,"Anderson to Rogers, no run on off stump now and Rogers defends to leg"
287,"Anderson to Rogers, no run defended away to the leg side again"
288,"Broad to Watson, no run Watson defends from outside off"
289,"Broad to Watson, no run a stifled shout now from Broad as Watson gets a big stride in and is hit on the pad"
290,"Broad to Watson, FOUR runs super shot from Watson now, fullish from Broad and Watson pounces with an off-drive that is more muscle than finesse, but races away to the boundary in any case"
291,"Broad to Watson, no run tries for another off drive now but straight to mid-off"
292,"Broad to Watson, no run fuller and swinging in a touch now, another stifled shout for lbw, this too was off a thick inside edge"
293,"Broad to Watson, no run left alone outside off now"
294,"Anderson to Rogers, no run Anderson sends this down at 85.3mph, it's left alone outside off,"
295,"Anderson to Rogers, no run left alone outside off again"
296,"Anderson to Rogers, 3 runs Rogers pushes this one back past Anderson, just a little jab really, but good enough to pick up three as the batsmen scamper through quickly"
297,"Anderson to Watson, no run swinging in towards off now, Watson defends with bat and pad close together"
298,"Anderson to Watson, no run Watson looks good with this drive, straight bat and firmly struck, but Pietersen at mid-on prevents any runs"
299,"Bresnan to Rogers, 2 runs fullish and outside off, just put on the spot by Bresnan, and Rogers drives past mid-off to pick up some more runs"
300,"Bresnan to Rogers, no run probing on off stump, no real swing for Bresnan, and Rogers defends"
301,"Bresnan to Rogers, no run left alone outside off"
302,"Bresnan to Rogers, no run swing this time - but swinging well away from Rogers, who leaves it alone"
303,"Bresnan to Rogers, no run on the pads and Rogers clips it to midwicket"
304,"Bresnan to Rogers, no run whippy flick to square leg to end the over"
305,"Anderson to Watson, no run Watson defends to the off side safely"
306,"Anderson to Watson, FOUR runs that's a classic Watson drive, he gets the big stride in and makes the ball fuller than it might otherwise have been, and he punches the drive through extra cover with power and timing"
307,"Anderson to Watson, no run solidly defended to the off side"
308,"Anderson to Watson, no run Anderson brings the length back just a touch, Watson leans forward and across to defend"
309,"Anderson to Watson, FOUR runs again Watson drives nicely through off, this time from a ball not quite so full and it's more the timing of this one than strength, he's found the gap between point and cover"
310,"Anderson to Watson, 3 runs yet more runs for Watson, this time he stands tall and off the back foot steers it behind point, it appears to be running away to the boundary but Jonny Bairstow has done magnificently in his chase and dive, flicks it back in to the field of play with his left hand - just within the bounds of play"
311,"Bresnan to Watson, FOUR runs Watson is really on song now! No swing for Bresnan and Watson just pushes this drive through extra cover, it was in the spot but still the placement was good. Yet another boundary"
312,"Bresnan to Watson, no run straighter line and Watson defends"
